facility_id,jurisdiction_code,jurisdiction_facility_id,registered_business_name,facility_name,abn,acn,street_address,suburb,state,postcode,latitude,longitude,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,facility_website,first_report_year,latest_report_year,latest_report_id,latest_report_url,reports
517276,SA,SA0192,GOLDEN NORTH PTY LTD,Golden North Pty Ltd,41098016883,098016883,SOUTH TCE,Laura,SA,5480,-33.1900583,138.29701,1132,Ice Cream Manufacturing,"Ice Cream, Yoghurt Blend, frozen flavoured ice blocks, and frozen flavoured milk manufacture.",http://www.goldennorth.com.au,1999/2000,2022/2023,544340,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2023/jurisdiction-facility/SA0192,21
688608,WA,WA1729,GOLDEN SPUR RESOURCES PTY LTD,Bellevue Gold Mine,,161329933,Goldfields Hwy,Sir Samuel,WA,6437,-27.646824,120.552277,0804,Gold Ore Mining,Gold ore mining,https://bellevuegold.com.au/,2022/2023,2022/2023,551026,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1729,1
622160,WA,WA1475,GOLDFIELDS GAS TRANSMISSION PTY LTD,"EGP, Granny Smith Meter Station",87004273241,004273241,Shire of Laverton,Laverton,WA,6440,-28.841861,122.362917,2700,Gas Supply,Gas meter station,,2015/2016,2022/2023,544814,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1475,8
622158,WA,WA1474,GOLDFIELDS GAS TRANSMISSION PTY LTD,"EGP, Sunrise Dam Meter Station",87004273241,004273241,Shire of Laverton,Laverton,WA,6440,-29.090389,122.439389,2700,Gas Supply,Gas meter station,,2015/2016,2022/2023,544816,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1474,8
622156,WA,WA1473,GOLDFIELDS GAS TRANSMISSION PTY LTD,"EGP, Tropicana Meter Station",87004273241,004273241,Shire of Menzies,Menzies,WA,6436,-29.235222,124.536389,2700,Gas Supply,Gas meter station,,2015/2016,2022/2023,544818,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1473,8
614170,WA,WA1450,GOLDFIELDS GAS TRANSMISSION PTY LTD,GGP. Boonamichi Well Meter Station,87004273241,004273241,130km WSW of Newman,Newman,WA,6753,-23.5522,118.4835,2700,Gas Supply,Gas meter station,,2014/2015,2022/2023,544490,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1450,9
614176,WA,WA1451,GOLDFIELDS GAS TRANSMISSION PTY LTD,GGP. Turee Creek Compressor Station,87004273241,004273241,72km WSW of Newman,Newman,WA,6753,-23.5294,119.0497,2700,Gas Supply,Gas compression for gas transport in gas transmission pipeline,,2014/2015,2022/2023,544456,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1451,9
676166,WA,WA1695,GOLDFIELDS GAS TRANSMISSION PTY LTD,GGT - Tarmoola Delivery Station,87004273241,004273241,Tarmoola,Leonora,WA,6438,-28.68550542,121.1603622,2700,Gas Supply,Gas meter and delivery station,,2021/2022,2022/2023,545762,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1695,2
676164,WA,WA1694,GOLDFIELDS GAS TRANSMISSION PTY LTD,GGT - Thunderbox Delivery Station,87004273241,004273241,Thunderbox,Leinster,WA,6437,-28.1473109,120.78227851,2700,Gas Supply,Gas meter and delivery station,,2021/2022,2022/2023,545764,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1694,2
676162,WA,WA1693,GOLDFIELDS GAS TRANSMISSION PTY LTD,GGT - Yarnima Delivery Station,87004273241,004273241,Yarinma Power Station,Newman,WA,6753,-23.34552547,119.7096349,2700,Gas Supply,Gas meter and delivery station,,2021/2022,2022/2023,545766,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1693,2
